Cust_name,Product_ID,condition,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Status,Orders,Amount,unnamed1,,User_ID
Sanskriti,P00125942,,F,26-35,28,0,Maharashtra,Western,Healthcare,Auto,,1,23952,,,1002903
Kartik,P00110942,,F,26-35,35,1,Andhra Pradesh,Southern,Govt,Auto,,3,23934,,,1000732
Bindu,P00118542,,F,26-35,35,1,Uttar Pradesh,Central,Automobile,Auto,,3,23924,,,1001990
Sudevi,P00237842,,M,0-17,16,0,Karnataka,Southern,Construction,Auto,,2,23912,,,1001425
Joni,P00057942,,M,26-35,28,1,Gujarat,Western,Food Processing,Auto,,2,23877,,,1000588
Joni,P00057942,,M,26-35,28,1,Himachal Pradesh,Northern,Food Processing,Auto,,1,23877,,,1000588
Balk,P00018042,,F,18-25,25,1,Uttar Pradesh,Central,Lawyer,Auto,,4,23841,,,1001132
Shivangi,P00273442,,F,55+,61,0,Maharashtra,Western,IT Sector,Auto,,1,,,,1002092
Kushal,P00205642,,M,26-35,35,0,Uttar Pradesh,Central,Govt,Auto,,2,23809,,,1003224
Ginny,P00031142,,F,26-35,26,1,Andhra Pradesh,Southern,Media,Auto,,4,23799.99,,,1003650
Harshita,P00200842,,M,26-35,34,0,Delhi,Central,Banking,Auto,,1,23770,,,1003829
Kargatis,P00119142,,F,18-25,20,0,Andhra Pradesh,Southern,Retail,Auto,,2,23752,,,1000214
Elijah,P00080342,,F,18-25,20,1,Andhra Pradesh,Southern,IT Sector,Auto,,2,23730,,,1004035
Vasudev,P00324942,,M,26-35,26,1,Andhra Pradesh,Southern,Automobile,Auto,,4,23718,,,1001680
Cano,P00293742,,M,46-50,46,1,Madhya Pradesh,Central,Hospitality,Auto,,3,,,,1003858
Lauren,P00289942,,F,18-25,24,0,Andhra Pradesh,Southern,Govt,Auto,,2,23664,,,1000813
Amy,P00275642,,F,46-50,48,1,Andhra Pradesh,Southern,IT Sector,Auto,,3,,,,1005447
Mick,P00004842,,F,26-35,29,0,Andhra Pradesh,Southern,Aviation,Auto,,1,23619,,,1001193
Praneet,P00029842,,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,,1,23568,,,1001883
Praneet,P00029842,,M,51-55,54,1,Uttar Pradesh,Central,Hospitality,Auto,,1,23568,,,1001883
Ellis,P00180642,,F,18-25,19,1,Andhra Pradesh,Southern,Govt,Auto,,4,23546,,,1000113
Hrisheekesh,P00181842,,F,46-50,46,1,Uttar Pradesh,Central,Banking,Auto,,2,23525,,,1000416
